region_hh;region_dict
Удмуртская Республика;Республика Удмуртия
Ханты-Мансийский АО - Югра;Ханты-Мансийский автономный округ — Югра
Ханты-Мансийский  авт. округ - Югра;Ханты-Мансийский автономный округ — Югра
Чувашская Республика;Республика Чувашия
Республика Саха (Якутия);Республика Якутия
Еврейская АО;Еврейская автономная область
Еврейская авт.область;Еврейская автономная область
Карачаево-Черкесская Республика;Республика Карачаево-Черкесия
Ямало-Ненецкий АО;Ямало-Ненецкий автономный округ
Ямало-Ненецкий авт. округ;Ямало-Ненецкий автономный округ
Республика Хакасия;Республика Хакасия
Ненецкий авт.округ;Ненецкий автономный округ
Республика Северная Осетия-Алания;Республика Северная Осетия
Республика Северная  Осетия - Алания;Республика Северная Осетия
Чеченская республика;Республика Чечня
Чеченская Республика;Республика Чечня
г.Москва;Москва
г.Москва ;Москва
г.Санкт-Петербург;Санкт-Петербург
г.Севастополь;Севастополь
Кабардино-Балкарская Республика;Республика Кабардино-Балкария
Кемеровская область - Кузбасс;Кемеровская область
Чукотский авт.округ;Чукотский автономный округ