iso3166;gost767_2;gost767_3;name;type;okrug
RU-YEV;;RU-JEW;Еврейская автономная область;автономная область;Дальневосточный федеральный округ
RU-NEN;;RU-NEN;Ненецкий автономный округ;автономный округ;Северо-Западный федеральный округ
RU-KHM;;RU-KHM;Ханты-Мансийский автономный округ — Югра;автономный округ;Уральский федеральный округ
RU-CHU;;RU-CHU;Чукотский автономный округ;автономный округ;Дальневосточный федеральный округ
RU-YAN;;RU-YAN;Ямало-Ненецкий автономный округ;автономный округ;Уральский федеральный округ
RU-MOW;;RU-MOW;Москва;город федерального значения;Центральный федеральный округ
RU-SPE;;RU-SPB;Санкт-Петербург;город федерального значения;Северо-Западный федеральный округ
UA-40;;RU-SEV;Севастополь;город федерального значения;Южный федеральный округ
RU-ALT;;RU-ALT;Алтайский край;край;Сибирский федеральный округ
RU-ZAB;;RU-ZAB;Забайкальский край;край;Дальневосточный федеральный округ
RU-KAM;;RU-KAM;Камчатский край;край;Дальневосточный федеральный округ
RU-KDA;;RU-KRA;Краснодарский край;край;Южный федеральный округ
RU-KYA;;RU-KYA;Красноярский край;край;Сибирский федеральный округ
RU-PER;;RU-PER;Пермский край;край;Приволжский федеральный округ
RU-PRI;;RU-PRI;Приморский край;край;Дальневосточный федеральный округ
RU-STA;;RU-STA;Ставропольский край;край;Северо-Кавказский федеральный округ
RU-KHA;;RU-KHA;Хабаровский край;край;Дальневосточный федеральный округ
RU-AMU;;RU-AMU;Амурская область;область;Дальневосточный федеральный округ
RU-ARK;;RU-ARK;Архангельская область;область;Северо-Западный федеральный округ
RU-AST;;RU-AST;Астраханская область;область;Южный федеральный округ
RU-BEL;;RU-BEL;Белгородская область;область;Центральный федеральный округ
RU-BRY;;RU-BRY;Брянская область;область;Центральный федеральный округ
RU-VLA;;RU-VLA;Владимирская область;область;Центральный федеральный округ
RU-VGG;;RU-VGG;Волгоградская область;область;Южный федеральный округ
RU-VLG;;RU-VLG;Вологодская область;область;Северо-Западный федеральный округ
RU-VOR;;RU-VOR;Воронежская область;область;Центральный федеральный округ
RU-IVA;;RU-IVA;Ивановская область;область;Центральный федеральный округ
RU-IRK;;RU-IRK;Иркутская область;область;Сибирский федеральный округ
RU-KGD;;RU-KAG;Калининградская область;область;Северо-Западный федеральный округ
RU-KLU;;RU-KLU;Калужская область;область;Центральный федеральный округ
RU-KEM;;RU-KEM;Кемеровская область;область;Сибирский федеральный округ
RU-KIR;;RU-KIR;Кировская область;область;Приволжский федеральный округ
RU-KOS;;RU-KOS;Костромская область;область;Центральный федеральный округ
RU-KGN;;RU-KUG;Курганская область;область;Уральский федеральный округ
RU-KRS;;RU-KUR;Курская область;область;Центральный федеральный округ
RU-LEN;;RU-LEN;Ленинградская область;область;Северо-Западный федеральный округ
RU-LIP;;RU-LIP;Липецкая область;область;Центральный федеральный округ
RU-MAG;;RU-MAG;Магаданская область;область;Дальневосточный федеральный округ
RU-MOS;;RU-MOS;Московская область;область;Центральный федеральный округ
RU-MUR;;RU-MUR;Мурманская область;область;Северо-Западный федеральный округ
RU-NIZ;;RU-NIZ;Нижегородская область;область;Приволжский федеральный округ
RU-NGR;;RU-NGR;Новгородская область;область;Северо-Западный федеральный округ
RU-NVS;;RU-NVS;Новосибирская область;область;Сибирский федеральный округ
RU-OMS;;RU-OMS;Омская область;область;Сибирский федеральный округ
RU-ORE;;RU-ORE;Оренбургская область;область;Приволжский федеральный округ
RU-ORL;;RU-ORL;Орловская область;область;Центральный федеральный округ
RU-PNZ;;RU-PNZ;Пензенская область;область;Приволжский федеральный округ
RU-PSK;;RU-PSK;Псковская область;область;Северо-Западный федеральный округ
RU-ROS;;RU-ROS;Ростовская область;область;Южный федеральный округ
RU-RYA;;RU-RYA;Рязанская область;область;Центральный федеральный округ
RU-SAM;;RU-SAM;Самарская область;область;Приволжский федеральный округ
RU-SAR;;RU-SAR;Саратовская область;область;Приволжский федеральный округ
RU-SAK;;RU-SAK;Сахалинская область;область;Дальневосточный федеральный округ
RU-SVE;;RU-SVE;Свердловская область;область;Уральский федеральный округ
RU-SMO;;RU-SMO;Смоленская область;область;Центральный федеральный округ
RU-TAM;;RU-TAM;Тамбовская область;область;Центральный федеральный округ
RU-TVE;;RU-TVE;Тверская область;область;Центральный федеральный округ
RU-TOM;;RU-TOM;Томская область;область;Сибирский федеральный округ
RU-TUL;;RU-TUL;Тульская область;область;Центральный федеральный округ
RU-TYU;;RU-TYU;Тюменская область;область;Уральский федеральный округ
RU-ULY;;RU-ULY;Ульяновская область;область;Приволжский федеральный округ
RU-CHE;;RU-CHE;Челябинская область;область;Уральский федеральный округ
RU-YAR;;RU-YAR;Ярославская область;область;Центральный федеральный округ
UA-14;;RU-DON;Донецкая Народная Республика;республика;Южный федеральный округ
UA-09;;RU-LUG;Луганская Народная Республика;республика;Южный федеральный округ
UA-43;;RU-CRI;Республика Крым;республика;Южный федеральный округ
RU-AD;RU-AD;RU-ADY;Республика Адыгея;республика;Южный федеральный округ
RU-BA;RU-BA;RU-BAS;Республика Башкортостан;республика;Приволжский федеральный округ
RU-BU;RU-BU;RU-BUR;Республика Бурятия;республика;Дальневосточный федеральный округ
RU-DA;RU-DA;RU-DAG;Республика Дагестан;республика;Северо-Кавказский федеральный округ
RU-IN;RU-IN;RU-ING;Республика Ингушетия;республика;Северо-Кавказский федеральный округ
RU-KB;RU-KB;RU-KAB;Республика Кабардино-Балкария;республика;Северо-Кавказский федеральный округ
RU-KL;RU-KI;RU-KAI;Республика Калмыкия;республика;Южный федеральный округ
RU-KC;RU-KC;RU-KAO;Республика Карачаево-Черкесия;республика;Северо-Кавказский федеральный округ
RU-KR;RU-KR;RU-KAR;Республика Карелия;республика;Северо-Западный федеральный округ
RU-ME;RU-ME;RU-MAR;Республика Марий Эл;республика;Приволжский федеральный округ
RU-MO;RU-MO;RU-MOR;Республика Мордовия;республика;Приволжский федеральный округ
RU-AL;RU-AL;RU-ALI;Республика Алтай;республика;Сибирский федеральный округ
RU-KO;RU-KO;RU-KOM;Республика Коми;республика;Северо-Западный федеральный округ
RU-SE;RU-SE;RU-NOR;Республика Северная Осетия;республика;Северо-Кавказский федеральный округ
RU-TA;RU-TA;RU-TAT;Республика Татарстан;республика;Приволжский федеральный округ
RU-TY;RU-TY;RU-TUV;Республика Тыва;республика;Сибирский федеральный округ
RU-UD;RU-UD;RU-UDM;Республика Удмуртия;республика;Приволжский федеральный округ
RU-KK;RU-KN;RU-KHK;Республика Хакасия;республика;Сибирский федеральный округ
RU-CE;RU-CE;RU-CHA;Республика Чечня;республика;Северо-Кавказский федеральный округ
RU-CU;RU-CU;RU-CHV;Республика Чувашия;республика;Приволжский федеральный округ
RU-SA;RU-SA;RU-SAH;Республика Якутия;республика;Дальневосточный федеральный округ