Месяц;Белгородская область;Брянская область;Владимирская область;Воронежская область;Ивановская область;Калужская область;Костромская область;Курская область;Липецкая область;Московская область;Орловская область;Рязанская область;Смоленская область;Тамбовская область;Тверская область;Тульская область;Ярославская область;г.Москва ;Республика Карелия;Республика Коми;Ненецкий авт.округ;Архангельская область;Вологодская область;Калининградская область;Ленинградская область;Мурманская область;Новгородская область;Псковская область;г.Санкт-Петербург;Республика Адыгея;Республика Калмыкия;Республика Крым;Краснодарский край;Астраханская область;Волгоградская область;Ростовская область;г.Севастополь;Республика Дагестан;Республика Ингушетия;Кабардино-Балкарская Республика;Карачаево-Черкесская Республика;Республика Северная  Осетия - Алания;Чеченская Республика;Ставропольский край;Республика Башкортостан;Республика Марий Эл;Республика Мордовия;Республика Татарстан;Удмуртская Республика;Чувашская Республика;Пермский край;Кировская область;Нижегородская область;Оренбургская область;Пензенская область;Самарская область;Саратовская область;Ульяновская область;Курганская область;Свердловская область;Ханты-Мансийский  авт. округ - Югра;Ямало-Ненецкий авт. округ;Тюменская область;Челябинская область;Республика Алтай;Республика Тыва;Республика Хакасия;Алтайский край;Красноярский край;Иркутская область;Кемеровская область - Кузбасс;Новосибирская область;Омская область;Томская область;Республика Бурятия;Республика Саха (Якутия);Забайкальский край;Камчатский край;Приморский край;Хабаровский край;Амурская область;Магаданская область;Сахалинская область;Еврейская авт.область;Чукотский авт.округ
01.01.2022;43840;36025;37394;40535;30883;48432;33952;39909;40334;64418;34635;39899;37214;33361;39997;45862;41505;103124;51991;60121;100573;57009;45365;40948;53088;75568;43794;34764;73522;36351;32119;37549;41100;40110;38308;39079;38442;31169;31148;31662;31271;31588;30112;37331;40860;33216;34798;46325;38909;35015;45151;35752;39928;38572;36284;42013;37354;35905;34410;49323;80837;116828;52587;44301;37724;45955;47846;31789;62362;55033;49871;46330;40020;50292;44267;81361;48883;85759;56793;59385;59579;93100;104989;48657;120769
01.02.2022;42169;34942;39290;40422;31363;46983;34660;38698;41205;63134;34747;39707;35407;31791;39249;43883;40189;114701;50752;60998;90590;56542;56823;42588;52340;75864;40966;34479;79363;35391;31429;35501;42125;40764;37158;38718;37801;31817;31349;31398;32080;32621;31685;35274;41347;34418;34203;45889;39613;35347;44302;34439;41413;37491;35457;40807;37035;35155;34258;48098;84064;119510;54701;43084;38691;44318;46127;32007;59812;54316;51238;45611;40140;48294;44793;81260;49388;83842;54533;56763;57893;109110;93445;47761;128625
01.03.2022;47559;38681;43716;45467;35286;53150;39511;43668;55126;72090;38358;43263;39655;36515;43773;49731;45050;146044;54428;65816;99640;59402;54200;47092;59391;90937;44486;37211;89679;37786;33583;38896;46892;42884;41524;42751;40983;33081;31350;32073;34767;33761;32120;39217;46579;38141;38492;51074;43363;39406;52087;38564;46536;40258;40497;47751;40803;39100;37271;54382;94813;130343;60791;50409;40449;48654;52729;35571;77822;65295;55542;50999;44671;57747;50923;95419;56351;91019;59190;60395;64584;115916;99009;51351;136167
01.04.2022;46407;40238;43592;45424;34964;52000;39353;44574;43467;68359;38206;45534;39500;36568;44042;46775;45794;120501;52869;67971;98937;61860;50147;46424;58561;83081;44668;38296;82047;37461;34147;39619;47915;42997;41232;43313;39502;34085;32509;33520;34536;35260;32833;38799;47307;38300;37676;50580;44173;39528;49843;39308;44097;41421;40091;45890;41012;40136;39563;52791;91521;130038;60039;48513;40993;49172;52089;34842;67793;61912;53150;50293;45502;54927;49996;92319;57546;105233;60379;62496;63468;119797;96968;56899;148150
01.05.2022;46133;40354;44188;45142;35232;51426;38883;45417;44152;67119;39518;44065;39925;37462;44643;48332;45499;113671;57059;70514;108435;65763;52557;45276;56724;91481;45026;38302;80698;39591;37690;40540;46861;49018;41263;42797;40737;34667;37138;34835;34726;35916;32941;39718;47524;39138;39759;52789;44421;40000;50726;40221;44030;44214;40197;46176;42361;40376;39900;53726;98215;158333;57239;50034;44358;54003;53553;36612;70189;62957;55966;50354;45249;56210;53832;101343;58838;127145;61771;63105;67992;123813;105614;56083;142466
01.06.2022;47677;42622;48068;48635;39364;54751;41777;48600;47247;72750;43838;47384;43558;40516;47688;52576;48782;123688;61260;68816;123706;70683;55126;47593;60094;94709;47406;42097;88482;42515;40859;45374;49191;49338;44264;45790;45286;40103;34809;39124;39051;40713;34183;43018;48574;42640;40841;53490;47266;44165;53972;43599;48736;45411;42476;48461;43890;42741;42964;57345;107332;135765;63025;52254;50424;63716;58249;39930;73641;66687;60198;54873;48429;60569;58345;99816;63866;127239;64450;66500;67142;118894;104537;58329;139001
01.07.2022;48266;39574;44136;45056;35002;52659;38909;43544;44357;67526;38743;45099;40140;36646;43335;48446;45333;115294;53593;69148;104650;61989;51407;46440;58650;83564;47026;37676;80900;38435;32293;40505;47440;45117;42015;44132;39434;32831;28212;30875;35394;34275;33844;41425;50639;38382;39437;49202;44252;39360;49145;40081;44438;44349;41098;48276;42024;40377;38367;53706;104484;133318;64176;48251;39358;41385;50827;36244;71463;62783;53749;50052;44468;55700;50236;87747;57036;86651;62652;64037;63731;115586;102879;56987;143872
01.08.2022;47313;39434;44196;44130;34269;49193;37616;44339;44314;65718;39328;43508;38664;37317;42606;46962;44791;109060;51067;66930;105314;57975;50376;44372;56918;76537;45949;37439;77359;38622;34480;39593;47232;47210;40893;43327;39006;31230;29962;31760;32740;32675;33126;40507;48605;38082;39159;50315;42553;39615;49504;39423;43273;43102;41118;46585;41538;39503;38950;52473;88220;127193;59703;47355;39041;42473;51506;37282;64734;60268;55825;49482;44445;53845;47883;81847;54462;91578;57955;60134;63326;106066;102797;54085;131051
01.09.2022;45587;39363;44551;45831;35060;50672;37702;44925;43368;68411;39768;44092;40425;37979;43422;47964;45232;113895;52996;64254;97159;62097;49502;44557;56586;79308;46173;38070;80770;39865;35162;41416;48236;44632;41152;44733;42641;34131;31100;32932;34644;34473;33264;40649;48392;42537;38604;51332;44184;40821;49626;40173;46495;42600;40279;46611;41183;39984;39912;54517;104047;119453;58953;48132;42685;48492;52087;38979;68335;61473;55539;51832;45363;54159;51371;92589;57413;104441;59690;62202;63737;109566;101872;54264;133231
01.10.2022;47737;41936;45371;46644;36083;53126;39511;46576;45007;69878;40331;44571;41733;41156;45203;49079;46841;113163;53999;65817;99801;62511;52020;47013;58474;83102;46834;38714;80747;40499;36182;42016;48531;45081;42292;46126;42574;35093;32179;34231;33975;35600;33373;41112;48456;40635;40103;51681;44931;41182;51506;41521;45795;43318;41465;48490;41619;42487;41647;55620;89343;121688;60342;50714;42095;49642;54201;40319;68748;64025;56141;52663;47568;55529;53008;93445;59796;98494;62057;65561;63394;112280;100144;56397;134534
01.11.2022;47482;42405;46270;46979;36544;53439;40285;46794;44815;70274;40876;45242;41528;40079;45365;49270;47556;113722;54027;65408;98345;64306;52427;47308;57559;82737;47762;39411;82449;42037;36219;41786;48751;45946;42229;46134;42207;35157;31871;34905;35302;36635;35067;41085;49085;41871;40109;52144;45694;42446;51479;41106;46239;43806;41937;48448;42200;43416;42206;56705;87375;120919;60544;51735;42924;58120;56076;40257;69900;65937;57854;53017;48645;55903;53958;96373;62797;96096;61693;64590;64544;147021;97646;55519;142617
01.12.2022;60042;52951;57641;58053;49621;65922;51551;64068;60726;92465;57164;59975;53749;52883;58713;62908;61579;185645;71827;87937;141152;83984;66914;63505;75691;125336;63732;48431;117550;52421;47486;54370;64391;66338;59041;59077;59470;50068;41357;47622;45019;50829;42633;56799;61537;53735;50596;68815;56153;56054;74055;51050;65383;57244;53932;61582;56733;53160;57025;73725;137986;158710;82126;65198;62580;69915;72447;53084;95611;81002;74047;68372;64157;71205;78735;140946;84426;136128;87827;86282;91683;156733;127032;76271;193945
01.01.2023;48681;42457;45524;47314;36253;52950;39412;46510;45934;72775;40929;45384;43397;39565;46276;50539;47951;111898;57634;70552;111357;64582;52866;46930;58903;88374;50869;39378;80112;41387;37301;41625;48585;46151;44938;45471;42560;35202;33090;35799;35899;36848;34457;40852;49598;40283;40760;53633;46625;42393;50914;42520;44296;45804;42245;48037;43311;43224;41725;56305;91667;128383;59974;50962;44333;51565;55743;40048;70819;63777;58415;53274;46650;55066;56438;93867;60492;98847;61617;64690;64568;107046;121534;55930;137636
01.02.2023;47326;41656;46232;47265;36243;52794;40178;45936;45232;72337;41751;46347;42467;38871;46388;51196;47734;120098;59699;69408;102138;65176;57629;46954;60088;86174;47214;39669;90108;40563;36711;41240;50678;46493;43234;45271;43112;35522;33819;35787;35837;37795;34102;40511;49427;42148;39746;53645;46308;42870;50632;42275;48610;46758;41524;48453;44337;42477;42558;56538;93336;136319;65499;50217;46534;51519;54979;39953;70138;64560;58782;54039;48982;54413;53546;92512;58984;94364;61214;64952;61570;116241;104417;56571;139260
01.03.2023;51415;44948;49002;50105;39369;57286;43458;48877;53349;78263;44312;49166;44900;42240;49609;55874;50506;141925;60705;73659;112860;67450;57654;50193;63894;90776;50117;41639;91936;42198;38818;44496;52481;49809;46588;50022;45724;36765;34765;37023;38154;38752;37426;44031;53658;43750;42154;58233;49564;46652;56085;45358;50885;50771;44374;52623;46052;45411;45609;60719;104593;138094;66426;54822;48397;55406;58633;43389;76885;72362;63455;58308;49978;60115;58481;107470;62968;103115;65558;67965;66981;126431;105878;61255;154915
01.04.2023;50894;44696;49185;51750;39741;57246;44334;50940;49426;78723;44447;50623;46077;41562;50554;55033;51938;137296;61113;73500;111520;68523;54909;52403;65274;96193;49923;41963;92316;42330;38200;44047;52350;50752;46787;49551;45099;36910;35484;37214;38034;38969;36199;44173;54070;44112;44909;58907;50524;47122;58113;45427;52889;50223;46282;54052;47913;46804;46092;61464;96132;152129;65588;57252;48418;53817;58270;42920;79971;68100;60976;58391;52272;64528;57696;101568;66295;116131;65748;67966;67399;125054;106353;63200;160859
01.05.2023;52707;49269;51038;52756;40736;58853;44249;52640;51706;79272;46895;52626;47658;45106;52378;56707;53968;127327;66182;86174;130106;74562;60240;53499;68727;104986;53526;45013;93366;45511;42139;45564;55685;54862;48909;51115;45846;38913;40829;39702;39286;40110;36268;46512;56845;47902;45444;62813;51107;49195;59799;48167;54308;55206;47475;55948;49861;47534;51660;62663;115411;179683;71459;58313;51164;65300;61550;44399;80714;74581;66329;59932;55215;67926;61904;120680;66857;127525;69736;74795;72416;134447;113221;65559;165540
01.06.2023;54581;50697;54102;56521;45055;62552;48506;55228;53723;84954;51459;55755;51140;46847;55289;61674;56620;138717;71616;80084;124032;79849;62829;56539;68792;102746;56605;47576;101155;48668;45240;50707;56285;56386;51451;55751;53057;44516;39474;46732;43781;46316;41695;49080;57205;51364;47801;62557;53674;53490;63680;51459;57636;55458;49151;56225;51354;50298;53072;66947;119270;148290;73206;61604;57476;67202;66592;47928;82657;76436;67195;65343;57771;70228;67270;114926;71426;111825;72776;75483;74346;131123;113298;66637;167761
01.07.2023;55034;46836;51087;51909;39039;59430;44241;50335;51359;79931;45195;52513;47021;42075;51081;56692;52557;128329;61706;76584;118376;68205;56833;54795;66135;97554;53804;43103;91587;43512;36560;45173;54820;51580;48463;51427;45600;35129;30563;35994;39094;38725;35318;46972;58784;46998;47118;59578;50749;47830;59010;47009;52243;50818;47454;56827;49907;47899;48612;62718;112564;144786;72966;56749;46457;46686;56349;42443;81722;71231;60816;59381;52080;62928;57585;100073;65168;105457;69707;72138;71158;124968;116532;64927;157220
01.08.2023;54391;46094;51143;51260;39546;57406;43504;50489;51058;78617;45842;51975;47269;42935;51081;56532;52171;122329;60736;73664;116939;65072;57070;52201;66744;89637;52961;42707;88163;44737;37844;43778;55313;52335;48333;50895;44624;34470;32163;36048;36821;37434;35699;46141;56414;46961;45933;61543;50013;49323;58162;46859;52066;50290;47952;55189;48715;46236;48575;61957;97187;140715;67850;55865;46355;47762;57670;43201;75027;69587;64250;58398;52028;61004;54700;94618;62135;121514;66211;68922;70609;118851;107046;60843;141412
01.09.2023;52906;46705;51388;52003;39781;58314;43986;52265;50942;82496;46620;51683;47935;44277;50879;57063;52794;125394;62215;70970;106457;69814;56903;52348;64973;91026;54712;43828;90926;46369;38536;45166;55125;49866;48051;51454;46045;36637;33754;37897;39202;38752;36522;44930;56130;47443;45442;61990;53425;49524;58312;47109;52649;51742;47208;55200;47571;47268;50372;63172;110243;135115;67773;57361;48484;52894;58596;44648;75560;70710;62559;62021;52964;62196;58824;103610;66158;142887;67093;69592;71625;124937;105976;62576;143216
01.10.2023;56285;48867;52973;53991;43143;61701;46733;53746;53423;85939;47064;53603;49293;45802;53253;59140;54729;134023;64769;72834;111728;70809;58279;56501;67860;97523;53847;45647;95090;47134;39857;46909;56533;50482;49055;53087;46371;37387;34713;39593;39247;40150;38048;47253;56903;52050;47118;62460;54103;51354;63268;48656;54093;52160;49322;56184;49937;49791;51020;65910;99060;135405;71028;60233;50760;56061;61309;46959;79210;74037;66608;64864;55278;64144;61505;107493;69733;121938;70428;73052;74998;129655;111100;65917;157340
01.11.2023;56081;48982;53673;54121;43162;61268;46116;54032;53067;86103;47051;54479;50187;46391;55804;60096;55070;128849;63282;73211;111812;72197;58660;55134;67344;96562;54623;46158;93054;48037;40721;47433;56320;51176;49431;53016;47699;37949;35073;40524;40351;41804;38511;46900;57409;51074;47452;64659;54241;52804;61585;49106;54862;53414;50408;55964;50286;50162;51732;66441;97472;131641;67938;60700;51298;65155;63934;46915;79448;75872;66966;65245;55646;65095;63006;111033;72580;111626;72141;72883;76876;168620;109923;66974;157777
01.12.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.07.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.08.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.09.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.10.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
